Código,Descrição,Tipo,Valor,Pedido Mínimo,Categoria,Validade,Uso Máximo,Usos Atuais,Status
"PRIMEIRACOMPRA","Primeira compra no app - 50% OFF","Porcentagem","50%","R$ 30,00","Novo Usuário","31/12/2025","1 por usuário","15.234","Ativo"
"BEMVINDO40","Bem-vindo ao UberEats - R$ 40 OFF","Valor Fixo","R$ 40,00","R$ 60,00","Novo Usuário","31/12/2025","1 por usuário","9.876","Ativo"
"PRIMEIROPEDIDO","Primeiro pedido com frete grátis + 30% OFF","Combo","30% + Frete","R$ 40,00","Novo Usuário","31/12/2025","1 por usuário","7.543","Ativo"
"ANIVERSARIO1ANO","1 ano de UberEats - 35% OFF de presente","Porcentagem","35%","R$ 50,00","Aniversário no App","31/12/2025","1 por usuário","4.321","Ativo"
"PARABENS1ANO","Parabéns! 1 ano conosco - R$ 25 OFF","Valor Fixo","R$ 25,00","R$ 60,00","Aniversário no App","31/12/2025","1 por usuário","3.210","Ativo"
"2ANOSJUNTOS","2 anos de parceria - 40% OFF","Porcentagem","40%","R$ 70,00","Aniversário no App","31/12/2025","1 por usuário","1.987","Ativo"
"DIADECHUVA","Tá chovendo? Frete grátis pra você!","Entrega Grátis","100%","R$ 35,00","Clima","31/12/2025","Ilimitado","8.765","Ativo"
"FRIOZINHO20","Dia frio pede delivery - 20% OFF","Porcentagem","20%","R$ 40,00","Clima","31/08/2025","Ilimitado","5.432","Ativo"
"INDIQUE30","Indicou, ganhou! 30% OFF","Porcentagem","30%","R$ 40,00","Indicação","31/12/2025","5 por usuário","12.345","Ativo"
"AMIGO20","Cupom do amigo - R$ 20 OFF para ambos","Valor Fixo","R$ 20,00","R$ 50,00","Indicação","31/12/2025","10 por usuário","8.901","Ativo"
"CAFEDAMANHA15","Café da manhã (6h-10h) - 15% OFF","Porcentagem","15%","R$ 25,00","Horário","31/12/2025","Ilimitado","6.789","Ativo"
"HAPPYHOUR25","Happy Hour (17h-19h) - 25% OFF","Porcentagem","25%","R$ 45,00","Horário","31/12/2025","Ilimitado","9.876","Ativo"
"CORUJAO30","Corujão (00h-5h) - 30% OFF","Porcentagem","30%","R$ 40,00","Horário","31/12/2025","Ilimitado","4.567","Ativo"
"PEDIDOGRUPO20","Pedido em grupo (3+ itens) - 20% OFF","Porcentagem","20%","R$ 100,00","Especial","31/12/2025","Ilimitado","7.890","Ativo"
"VEGANO25","Opções veganas com 25% OFF","Porcentagem","25%","R$ 40,00","Categoria","31/12/2025","Ilimitado","3.456","Ativo"
"SAUDAVEL20","Comida saudável - 20% OFF","Porcentagem","20%","R$ 45,00","Categoria","31/12/2025","Ilimitado","4.321","Ativo"
"RETIRADA30","Retire no local e ganhe 30% OFF","Porcentagem","30%","R$ 30,00","Pickup","31/12/2025","Ilimitado","6.543","Ativo"
"UBERPASS50","Assine o Uber Pass - 50% OFF primeiro mês","Porcentagem","50%","R$ 50,00","Assinatura","31/12/2025","1 por usuário","8.765","Ativo"
"NOVONOBAIRRO","Novo restaurante no bairro - 40% OFF","Porcentagem","40%","R$ 50,00","Lançamento","31/08/2025","1.000","567","Ativo"
"CARNAVAL30","Folia de Carnaval - 30% OFF em todos os pedidos","Porcentagem","30%","R$ 45,00","Feriado","18/02/2025","15.000","0","Agendado"
"FOLIAO25","Desconto do Folião - 25% OFF durante o Carnaval","Porcentagem","25%","R$ 50,00","Feriado","18/02/2025","10.000","0","Agendado"
"RESSACA15","Quarta de Cinzas - 15% OFF para curar a ressaca","Porcentagem","15%","R$ 30,00","Feriado","19/02/2025","5.000","0","Agendado"
"BLOCOBH40","Bloco de BH - 40% OFF para foliões","Porcentagem","40%","R$ 60,00","Feriado","17/02/2025","8.000","0","Agendado"
"MULHER30","Dia Internacional da Mulher - 30% OFF","Porcentagem","30%","R$ 50,00","Feriado","08/03/2025","15.000","0","Agendado"
"DELAS25","Poder Feminino - 25% OFF + Frete Grátis","Combo","25% + Frete","R$ 60,00","Feriado","08/03/2025","10.000","0","Agendado"
"PASCOA35","Páscoa Doce - 35% OFF","Porcentagem","35%","R$ 60,00","Feriado","20/04/2025","10.000","0","Agendado"
"CHOCOLATE20","Sobremesas de Páscoa - 20% OFF","Porcentagem","20%","R$ 40,00","Feriado","20/04/2025","5.000","0","Agendado"
"OVOS30","Caça aos ovos - 30% OFF em docerias","Porcentagem","30%","R$ 50,00","Feriado","20/04/2025","7.000","0","Agendado"
"TIRADENTES21","Feriado de Tiradentes - 21% OFF","Porcentagem","21%","R$ 40,00","Feriado","21/04/2025","4.000","0","Agendado"
"TRABALHO20","Dia do Trabalhador - 20% OFF para todos","Porcentagem","20%","R$ 35,00","Feriado","01/05/2025","10.000","0","Agendado"
"TRABALHADORBH","Trabalhador de BH - Frete grátis","Entrega Grátis","100%","R$ 40,00","Feriado","01/05/2025","5.000","0","Agendado"
"MAES2025","Especial Dia das Mães - 35% OFF","Porcentagem","35%","R$ 70,00","Feriado","11/05/2025","20.000","0","Agendado"
"MAMAEAMA20","Mamãe Ama Desconto - R$ 20 OFF","Valor Fixo","R$ 20,00","R$ 60,00","Feriado","11/05/2025","10.000","0","Agendado"
"CAFEMAES","Café da manhã para mamãe - 40% OFF","Porcentagem","40%","R$ 80,00","Feriado","11/05/2025","5.000","0","Agendado"
"NAMORADOS40","Dia dos Namorados - 40% OFF para casais","Porcentagem","40%","R$ 80,00","Feriado","12/06/2025","10.000","0","Agendado"
"AMOR2025","Jantar romântico com desconto","Valor Fixo","R$ 30,00","R$ 100,00","Feriado","12/06/2025","5.000","0","Agendado"
"ROMANCE50","Romance à dois - 50% OFF no segundo prato","Porcentagem","50%","R$ 90,00","Feriado","12/06/2025","3.000","0","Agendado"
"CORPUS20","Corpus Christi - 20% OFF","Porcentagem","20%","R$ 45,00","Feriado","19/06/2025","7.000","0","Agendado"
"JUNINA30","Arraiá de Descontos - 30% OFF","Porcentagem","30%","R$ 40,00","Feriado","30/06/2025","15.000","0","Agendado"
"SAOJOAO25","São João com 25% de desconto","Porcentagem","25%","R$ 35,00","Feriado","24/06/2025","8.000","0","Agendado"
"QUENTAO15","Quentão e Comida Típica - 15% OFF","Porcentagem","15%","R$ 30,00","Feriado","30/06/2025","5.000","0","Agendado"
"MILHOVERDE20","Festival do Milho - 20% OFF em comidas típicas","Porcentagem","20%","R$ 35,00","Feriado","30/06/2025","6.000","0","Agendado"
"QUADRILHA25","Quadrilha de descontos - 25% OFF","Porcentagem","25%","R$ 40,00","Feriado","28/06/2025","4.000","0","Agendado"
"PAIS2025","Dia dos Pais - 30% OFF","Porcentagem","30%","R$ 60,00","Feriado","10/08/2025","15.000","0","Agendado"
"PAIZAO20","Paizão merece - Frete Grátis + 20% OFF","Combo","20% + Frete","R$ 70,00","Feriado","10/08/2025","8.000","0","Agendado"
"CHURRASCOPAI","Churrasco do pai - 35% OFF em carnes","Porcentagem","35%","R$ 80,00","Feriado","10/08/2025","5.000","0","Agendado"
"INDEPENDENCIA22","7 de Setembro - 22% OFF (referência a 1822)","Porcentagem","22%","R$ 50,00","Feriado","07/09/2025","7.000","0","Agendado"
"BRASILINDEPENDENTE","Brasil Independente - R$ 18,22 OFF","Valor Fixo","R$ 18,22","R$ 50,00","Feriado","07/09/2025","1.822","0","Agendado"
"CRIANCA25","Dia das Crianças - 25% OFF em lanches","Porcentagem","25%","R$ 40,00","Feriado","12/10/2025","10.000","0","Agendado"
"KIDS15","Menu Kids com 15% de desconto","Porcentagem","15%","R$ 30,00","Feriado","12/10/2025","5.000","0","Agendado"
"DOCECRIANCA","Doces para crianças - 30% OFF","Porcentagem","30%","R$ 35,00","Feriado","12/10/2025","7.000","0","Agendado"
"FINADOS10","Feriado de Finados - 10% OFF","Porcentagem","10%","R$ 30,00","Feriado","02/11/2025","3.000","0","Agendado"
"REPUBLICA15","Proclamação da República - 15% OFF","Porcentagem","15%","R$ 40,00","Feriado","15/11/2025","5.000","0","Agendado"
"15NOVEMBRO","15 de Novembro - R$ 15 OFF","Valor Fixo","R$ 15,00","R$ 40,00","Feriado","15/11/2025","1.889","0","Agendado"
"CONSCIENCIA25","Dia da Consciência Negra - 25% OFF","Porcentagem","25%","R$ 45,00","Feriado","20/11/2025","8.000","0","Agendado"
"ZUMBI30","Zumbi dos Palmares - 30% OFF em comida afro","Porcentagem","30%","R$ 50,00","Feriado","20/11/2025","5.000","0","Agendado"
"BRASIL50","Gol do Brasil = 50% OFF (válido em dias de jogo)","Porcentagem","50%","R$ 50,00","Feriado","31/12/2025","1.000","0","Agendado"
"HEXA30","Rumo ao Hexa - 30% OFF","Porcentagem","30%","R$ 40,00","Feriado","31/12/2025","20.000","0","Agendado"
"SELECAO25","Seleção em campo - 25% OFF em petiscos","Porcentagem","25%","R$ 45,00","Feriado","31/12/2025","10.000","0","Agendado"
"NATAL30","Especial de Natal","Porcentagem","30%","R$ 80,00","Feriado","26/12/2025","10.000","0","Agendado"
"PAPAINOEL40","Presente do Papai Noel - 40% OFF","Porcentagem","40%","R$ 90,00","Feriado","25/12/2025","5.000","0","Agendado"
"CEIA25","Ceia de Natal - R$ 25 OFF","Valor Fixo","R$ 25,00","R$ 100,00","Feriado","24/12/2025","8.000","0","Agendado"
"REVEILLON40","Ceia de Ano Novo - 40% OFF","Porcentagem","40%","R$ 100,00","Feriado","31/12/2025","5.000","0","Agendado"
"ANO2026","Bem-vindo 2026 - R$ 26 OFF","Valor Fixo","R$ 26,00","R$ 80,00","Feriado","01/01/2026","2.026","0","Agendado"
"VIRADA50","Virada do ano - 50% OFF na madrugada","Porcentagem","50%","R$ 60,00","Feriado","01/01/2026","1.000","0","Agendado"
